Field,Label,Value
id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
title,Title of Dataset,Thailand Roads (OpenStreetMap Export)
name,Dataset URL,hotosm_tha_roads
notes,Description,"OpenStreetMap contains roughly 999.0 million km of roads in this region. Based on AI-mapped estimates, this is approximately 75 % of the total road length in the dataset region. The average age of data for the region is 3 years  ( Last edited 2 months ago ) and 5% of roads were added or updated in the last 6 months. Read about what this summary means : indicators , metrics OpenStreetMap exports for use in GIS applications. This theme includes all OpenStreetMap features in this area matching ( Learn what tags means here ) : tags['highway'] IS NOT NULL Features may have these attributes:  name name:en highway surface smoothness width lanes oneway bridge layer source name:th  This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information."
dataset_source,Source,OpenStreetMap contributors
organization,Contributor,Humanitarian OpenStreetMap Team (HOT)
dataset_date,Reference Period,[2024-09-01T00:00:00 TO 2024-09-01T23:59:59]
last_modified,Updated,2024-09-01T22:09:08.640433
data_update_frequency,Expected Update Frequency,Every month
groups,Location,Thailand
license_title,License,Open Database License (ODC-ODbL)
methodology,Methodology,Other
methodology_other,Define Methodology,Volunteered geographic information
caveats,Caveats/Comments,OpenStreetMap data is crowd sourced and cannot be considered to be exhaustive
tags,Tags,"geodata, roads, transportation"
resource_1_created,Created,2017-11-20T15:31:31.872401
resource_1_description,Description,ESRI Shapefile
resource_1_format,File Format,SHP
resource_1_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/THA/roads/lines/hotosm_tha_roads_lines_shp.zip
resource_1_id,Resource ID,e3723d7d-06be-4c6e-a39c-441b6cb9b4ab
resource_1_last_modified,Updated,2024-09-01T22:09:08.640184
resource_1_metadata_modified,Metadata Updated,2024-09-01T22:13:52.974445
resource_1_microdata,Microdata,FALSE
resource_1_dataset_id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
resource_1_resource_type,Resource Type,api
resource_1_name,Resource Name,hotosm_tha_roads_lines_shp.zip
resource_1_mimetype,MIME Type,
resource_1_size,Size,399.4M
resource_2_created,Created,2017-11-20T15:31:31.872412
resource_2_description,Description,ESRI Shapefile
resource_2_format,File Format,SHP
resource_2_download_url,Download URL,https://export.hotosm.org/downloads/6fa0de16-72b8-41d9-94a1-80d7fa963b85/hotosm_tha_roads_polygons_shp.zip
resource_2_id,Resource ID,9467e6a0-0c00-42f1-8b79-27b355c97986
resource_2_last_modified,Updated,2020-01-12T23:01:53.639738
resource_2_metadata_modified,Metadata Updated,2024-03-05T10:00:03.188426
resource_2_microdata,Microdata,FALSE
resource_2_dataset_id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
resource_2_resource_type,Resource Type,api
resource_2_name,Resource Name,hotosm_tha_roads_polygons_shp.zip
resource_2_mimetype,MIME Type,
resource_2_size,Size,0.0B
resource_3_created,Created,2017-11-20T15:31:31.872416
resource_3_description,Description,"Geopackage, SQLite compatible"
resource_3_format,File Format,Geopackage
resource_3_download_url,Download URL,https://export.hotosm.org/downloads/6fa0de16-72b8-41d9-94a1-80d7fa963b85/hotosm_tha_roads_gpkg.zip
resource_3_id,Resource ID,4b32b436-48f1-4f83-b8f2-3f621883ad62
resource_3_last_modified,Updated,2020-01-12T23:01:53.639738
resource_3_metadata_modified,Metadata Updated,2023-03-02T18:28:57.149835
resource_3_microdata,Microdata,FALSE
resource_3_dataset_id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
resource_3_resource_type,Resource Type,api
resource_3_name,Resource Name,hotosm_tha_roads_gpkg.zip
resource_3_mimetype,MIME Type,
resource_3_size,Size,
resource_4_created,Created,2017-11-20T15:31:31.872420
resource_4_description,Description,KML
resource_4_format,File Format,KML
resource_4_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/THA/roads/lines/hotosm_tha_roads_lines_kml.zip
resource_4_id,Resource ID,9eabd1fc-8849-42e9-bf56-d4caab2c36b5
resource_4_last_modified,Updated,2024-09-01T22:09:08.640295
resource_4_metadata_modified,Metadata Updated,2024-09-01T22:14:52.267481
resource_4_microdata,Microdata,FALSE
resource_4_dataset_id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
resource_4_resource_type,Resource Type,api
resource_4_name,Resource Name,hotosm_tha_roads_lines_kml.zip
resource_4_mimetype,MIME Type,
resource_4_size,Size,238.1M
resource_5_created,Created,2017-11-20T15:31:31.872423
resource_5_description,Description,Google Earth .KML
resource_5_format,File Format,KML
resource_5_download_url,Download URL,https://export.hotosm.org/downloads/6fa0de16-72b8-41d9-94a1-80d7fa963b85/hotosm_tha_roads_polygons_kml.zip
resource_5_id,Resource ID,bf2f4bdf-24e8-4164-8927-99f545960ea5
resource_5_last_modified,Updated,2020-01-12T23:01:53.639738
resource_5_metadata_modified,Metadata Updated,2024-03-05T10:00:05.335105
resource_5_microdata,Microdata,FALSE
resource_5_dataset_id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
resource_5_resource_type,Resource Type,api
resource_5_name,Resource Name,hotosm_tha_roads_polygons_kml.zip
resource_5_mimetype,MIME Type,
resource_5_size,Size,0.0B
resource_6_created,Created,2017-11-20T15:31:31.872427
resource_6_description,Description,.IMG for Garmin GPS Devices (All OSM layers for area)
resource_6_format,File Format,Garmin IMG
resource_6_download_url,Download URL,https://export.hotosm.org/downloads/6fa0de16-72b8-41d9-94a1-80d7fa963b85/hotosm_tha_gmapsupp_img.zip
resource_6_id,Resource ID,9a473412-52e4-48ce-a7ec-0e1f92b90e5b
resource_6_last_modified,Updated,2020-01-12T23:01:53.639738
resource_6_metadata_modified,Metadata Updated,2023-03-02T18:28:57.150425
resource_6_microdata,Microdata,FALSE
resource_6_dataset_id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
resource_6_resource_type,Resource Type,api
resource_6_name,Resource Name,hotosm_tha_gmapsupp_img.zip
resource_6_mimetype,MIME Type,
resource_6_size,Size,
resource_7_created,Created,2024-01-23T16:37:30.582194
resource_7_description,Description,GeoJSON
resource_7_format,File Format,GeoJSON
resource_7_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/THA/roads/lines/hotosm_tha_roads_lines_geojson.zip
resource_7_id,Resource ID,581595cf-1959-4bf8-ab08-08a7d6c6aa3f
resource_7_last_modified,Updated,2024-09-01T22:09:08.640374
resource_7_metadata_modified,Metadata Updated,2024-09-01T22:18:54.003752
resource_7_microdata,Microdata,FALSE
resource_7_dataset_id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
resource_7_resource_type,Resource Type,api
resource_7_name,Resource Name,hotosm_tha_roads_lines_geojson.zip
resource_7_mimetype,MIME Type,
resource_7_size,Size,241.9M
resource_8_created,Created,2024-06-03T18:42:50.279991
resource_8_description,Description,GPKG
resource_8_format,File Format,Geopackage
resource_8_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/THA/roads/lines/hotosm_tha_roads_lines_gpkg.zip
resource_8_id,Resource ID,10d61523-e304-4fbc-9d1c-cf5b40947c4a
resource_8_last_modified,Updated,2024-09-01T22:09:08.640433
resource_8_metadata_modified,Metadata Updated,2024-09-01T22:09:09.036609
resource_8_microdata,Microdata,FALSE
resource_8_dataset_id,Dataset ID,cc8cb371-40c3-45df-ab19-00c11675a105
resource_8_resource_type,Resource Type,api
resource_8_name,Resource Name,hotosm_tha_roads_lines_gpkg.zip
resource_8_mimetype,MIME Type,
resource_8_size,Size,393.3M
